algorithm,dataset,k,silhouette,davies_bouldin,calinski_harabasz,runtime_s,inertia,linkage,bic,aic,covariance_type
gmm,newsgroups,5,0.023162441497221048,6.31370118324711,286.3587659013909,1.2751520829915535,,,-4203067.652893156,-4404178.117835287,full
gmm,newsgroups,5,0.019872493963751056,4.479112528212913,304.9137837900383,0.5941434580017813,,,-3605297.7633146327,-3648668.4056338295,tied
gmm,newsgroups,5,0.017064486060979402,6.043160561461605,305.16607499331144,0.21596649999264628,,,-3685054.445172966,-3692894.5828914526,diag
gmm,newsgroups,10,0.024961245831894723,5.693797994221616,212.06969884681416,2.027225166995777,,,-4189265.37840947,-4591494.117195843,full
gmm,newsgroups,10,0.028763707241070934,4.040408220928676,253.3435613955847,0.8560887079947861,,,-3675717.977663582,-3723032.1155483522,tied
gmm,newsgroups,10,0.02471793619439292,4.910714255476519,253.51131788359976,0.182675834003021,,,-3741920.0335609163,-3757608.117899999,diag
gmm,newsgroups,15,0.02711811348571763,5.408317664686501,183.050248598347,4.586111249998794,,,-4055038.391885956,-4658385.40451657,full
gmm,newsgroups,15,0.037213613932334605,3.8525482810203404,227.16087518252627,0.7799818750063423,,,-3737075.454291667,-3788333.0877420106,tied
gmm,newsgroups,15,0.03034187765807034,4.4892126647355,222.6967095030333,0.26434912500553764,,,-3800895.1534941886,-3824431.184453868,diag
gmm,newsgroups,20,0.02962525791196303,5.0536680339107,164.36685542548335,5.482988332994864,,,-3901241.422605536,-4705706.709080392,full
gmm,newsgroups,20,0.04059958853811691,3.631281205314238,202.70611077446225,1.8662093339953572,,,-3791162.199372794,-3846363.328388711,tied
gmm,newsgroups,20,0.033541230303199276,4.200547392323683,196.94279033845737,0.31293141600326635,,,-3834046.484132126,-3865430.461712402,diag
hierarchical,newsgroups,5,0.014972067987217855,5.776726135189324,297.40261223905026,6.538307541995891,,ward,,,
hierarchical,newsgroups,5,0.0022600446612731345,10.793630554982624,65.89417001028629,5.660025374992983,,complete,,,
hierarchical,newsgroups,5,0.014342941268491149,2.5539871841954955,37.51013642436074,5.8213485830056015,,average,,,
hierarchical,newsgroups,10,0.022038590252982247,4.868513224298437,229.29960121951774,5.485238082997967,,ward,,,
hierarchical,newsgroups,10,-0.0029365431378312896,7.776042588367234,73.45832339398298,5.585075541996048,,complete,,,
hierarchical,newsgroups,10,0.00784684883460453,3.577527144908602,77.70263508064058,6.167964750013198,,average,,,
hierarchical,newsgroups,15,0.02388207625638196,4.084875573610518,198.98781883017267,5.871007958005066,,ward,,,
hierarchical,newsgroups,15,-0.015920705758277167,6.649010609050658,70.78142995255106,5.593662540995865,,complete,,,
hierarchical,newsgroups,15,0.0076304846061173125,3.647028524852982,80.85393793604291,5.810109666999779,,average,,,
hierarchical,newsgroups,20,0.02788808883912644,3.8117517335446123,178.05559557269257,5.518836457995349,,ward,,,
hierarchical,newsgroups,20,-0.014201108342046838,5.905997865466552,67.78189952708975,5.590609792008763,,complete,,,
hierarchical,newsgroups,20,0.001003305080198987,3.6113775289822256,71.1288434004953,5.81718300000648,,average,,,
kmeans,newsgroups,5,0.029735977058139587,5.198671411286499,372.0214471944575,0.28918020900164265,14726.146480632582,,,,
kmeans,newsgroups,10,0.03841671587259772,4.4499742303403,289.1121742371595,0.433614999987185,13936.719681031416,,,,
kmeans,newsgroups,15,0.04881583641215576,4.0249822416935235,248.17243775521445,0.5089825409959303,13374.780268964527,,,,
kmeans,newsgroups,20,0.05160593156115279,3.8277857096222476,222.84560072483453,0.6005338329996448,12920.813887452932,,,,
kmeans,newsgroups,25,0.0547706070577812,3.6154522089989958,205.16582818054397,0.9418610840075416,12534.163612122036,,,,
